Year,State,Crop Name,Yield (Tons/Acre)_Lahari,Total Production (Tons)_Lahari,Contract Labor Expense ($)_Lahari,Hired Crop Worker Wage ($/hr)_Lahari,Hired Labor Hours Worked (hrs/week)_Lahari,Total Hired Workers_Lahari,Migrant Workers_Lahari,Estimated Crop Labor Hours,Price (USD/Pound),VISA_APPROVALS,VISA_DENIALS,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,Total Approved Workers,High Restriction Workers,Moderate Restriction Workers,No Restriction Workers,AEWR 2024 ($),U.S. Born,Foreign Born: Citizen,FOREIGNB,AGE,currstat,ACCOMP,HHSPOUSE,HHKID,HHPARENT
2023,CA,Apple,4.191,209.55,7999000,19.75,40.0,10472,393.0,418880.0,1.5,3735,0,181563.0,1220.0,27898.0,2060.0,209461.0,157095.75,188514.9,209461.0,19.75,,,,,,,,,
2023,MI,Apple,4.191,209.55,0,12.91,0.0,0,0.0,0.0,1.5,1280,0,181563.0,1220.0,27898.0,2060.0,209461.0,157095.75,188514.9,209461.0,16.32,,,,,,,,,
2023,NY,Apple,4.191,209.55,0,12.91,0.0,0,0.0,0.0,1.5,572,1,181563.0,1220.0,27898.0,2060.0,209461.0,157095.75,188514.9,209461.0,16.32,,,,,,,,,
2023,OR,Apple,4.191,209.55,0,12.91,0.0,0,0.0,0.0,1.5,458,0,181563.0,1220.0,27898.0,2060.0,209461.0,157095.75,188514.9,209461.0,16.32,,,,,,,,,
2023,PA,Apple,4.191,209.55,0,12.91,0.0,0,0.0,0.0,1.5,152,0,181563.0,1220.0,27898.0,2060.0,209461.0,157095.75,188514.9,209461.0,16.32,,,,,,,,,
2023,VA,Apple,4.191,209.55,0,12.91,0.0,0,0.0,0.0,1.5,90,0,181563.0,1220.0,27898.0,2060.0,209461.0,157095.75,188514.9,209461.0,16.32,,,,,,,,,
2023,WA,Apple,4.191,209.55,0,12.91,0.0,0,0.0,0.0,1.5,2315,0,181563.0,1220.0,27898.0,2060.0,209461.0,157095.75,188514.9,209461.0,16.32,,,,,,,,,
2022,CA,Apple,4.191,209.55,5034840000,18.62,40.5,372134,72910.0,15071427.0,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,19.75,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,CA,Apple,4.191,209.55,5034840000,18.62,40.5,372134,72910.0,15071427.0,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,19.75,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,MI,Apple,4.191,209.55,223943000,16.0775,37.1,68950,19367.0,2558045.0,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,MI,Apple,4.191,209.55,223943000,16.0775,37.1,68950,19367.0,2558045.0,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,NY,Apple,4.191,209.55,126922000,15.14795455,38.82727273,56678,12466.0,2200652.164,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,NY,Apple,4.191,209.55,126922000,15.14795455,38.82727273,56678,12466.0,2200652.164,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,OR,Apple,4.191,209.55,323340000,14.68318182,39.69090909,72040,21554.0,2859333.091,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,OR,Apple,4.191,209.55,323340000,14.68318182,39.69090909,72040,21554.0,2859333.091,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,PA,Apple,4.191,209.55,123189000,14.59022727,39.86363636,60475,4547.0,2410753.409,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,PA,Apple,4.191,209.55,123189000,14.59022727,39.86363636,60475,4547.0,2410753.409,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
2022,VA,Apple,4.191,209.55,86484000,13.84659091,41.24545455,33719,4675.0,1390755.482,1.5,0,0,345310.0,1842.0,57619.0,5024.0,402929.0,302196.75,362636.1,402929.0,16.32,32.1,6.7,0.7498213009292352,41.81460272011453,2.676912080057184,0.6533238027162259,0.5453895639742673,0.9728377412437456,0.0643316654753395
